,hour,longitude,latitude,value
0,0,108.8907,34.2421,23.0
1,0,108.8829,34.1858,25.0
2,0,108.9482,34.2988,17.0
3,0,108.9102,34.2261,11.0
4,0,108.9868,34.2719,13.0
5,0,108.9347,34.244,37.0
6,0,108.9341,34.2654,25.0
7,0,108.9385,34.2542,31.0
8,0,108.9541,34.2321,46.0
9,0,108.904,34.2642,13.0
10,0,108.9166,34.2607,32.0
11,0,108.9435,34.1888,16.0
12,0,108.9534,34.2547,34.0
13,0,108.8606,34.1881,23.0
14,0,108.9532,34.3362,71.0
15,0,108.9536,34.2867,52.0
16,0,108.9223,34.2277,48.0
17,0,108.9353,34.3374,14.0
18,0,108.882,34.1978,17.0
19,0,108.9622,34.3552,15.0
20,0,108.9717,34.3221,10.0
21,0,108.9789,34.2575,31.0
22,0,109.0185,34.2832,40.0
23,0,108.8874,34.2142,16.0
24,0,108.9218,34.2458,27.0
25,0,108.9717,34.2691,29.0
26,0,108.8997,34.222,14.0
27,0,108.9948,34.2088,22.0
28,0,108.9953,34.2662,10.0
29,0,108.9457,34.3199,36.0
30,0,108.8889,34.2288,38.0
31,0,108.9606,34.2681,20.0
32,0,109.0018,34.2569,11.0
33,0,108.8657,34.2045,12.0
34,0,109.0668,34.258,10.0
35,1,108.973,34.3271,17.0
36,1,108.9423,34.2567,10.0
37,1,108.9735,34.1986,21.0
38,1,108.878,34.2691,10.0
39,1,108.8933,34.1973,10.0
40,1,108.9536,34.3019,19.0
41,1,109.0128,34.2752,42.0
42,1,108.9831,34.2945,29.0
43,1,108.8965,34.2405,14.0
44,1,108.9928,34.3818,1.0
45,1,108.9623,34.2648,20.0
46,1,108.9327,34.2339,12.0
47,1,108.9584,34.2543,30.0
48,1,108.8429,34.1998,10.0
49,1,108.9697,34.2764,13.0
50,1,108.9953,34.2778,13.0
51,1,108.9529,34.2168,13.0
52,1,108.9533,34.231,11.0
53,1,108.8636,34.2079,10.0
54,1,109.0697,34.2532,24.0
55,1,108.8853,34.2236,61.0
56,1,108.921,34.2383,56.0
57,1,108.9076,34.2408,53.0
58,2,108.882,34.1991,32.0
59,2,109.023,34.2727,18.0
60,2,108.893,34.2171,10.0
61,2,108.9245,34.2175,10.0
62,2,108.9712,34.3158,20.0
63,2,108.8844,34.2316,24.0
64,2,108.9552,34.2586,23.0
65,2,108.9685,34.2814,54.0
66,2,108.9393,34.33,10.0
67,2,108.963,34.2267,31.0
68,2,109.0039,34.2533,17.0
69,2,108.9073,34.2234,14.0
70,2,108.8821,34.1869,33.0
71,2,108.9657,34.3432,16.0
72,3,108.9812,34.258,10.0
73,3,108.9527,34.2662,43.0
74,3,108.9096,34.2485,14.0
75,3,108.9381,34.2951,10.0
76,3,108.8565,34.2076,16.0
77,3,108.9636,34.3536,11.0
78,3,108.881,34.2423,10.0
79,3,108.9698,34.2805,17.0
80,4,108.8781,34.1852,49.0
81,4,108.9537,34.2764,12.0
82,4,108.8879,34.236,16.0
83,4,108.943,34.2166,13.0
84,4,108.9834,34.253,18.0
85,4,109.0858,34.2827,12.0
86,4,108.9133,34.2409,10.0
87,4,108.8978,34.2875,200.0
88,4,108.9504,34.1999,19.0
89,4,108.9073,34.2658,15.0
90,4,108.9457,34.303,15.0
91,5,108.9536,34.3019,87.0
92,5,108.892,34.2483,10.0
93,5,108.9531,34.2168,10.0
94,5,108.9357,34.3448,73.0
95,5,108.9512,34.3545,10.0
96,5,108.9399,34.2955,21.0
97,5,108.8731,34.204,10.0
98,5,108.9751,34.2413,26.0
99,5,108.8718,34.1862,10.0
100,5,108.9391,34.3328,14.0
101,5,108.9283,34.2854,24.0
102,5,108.9245,34.2011,22.0
103,5,108.9689,34.2825,10.0
104,5,109.013,34.3031,12.0
105,5,108.9448,34.3209,20.0
106,5,108.9154,34.2253,21.0
107,5,108.9578,34.2889,29.0
108,5,108.9216,34.3409,14.0
109,5,108.9329,34.2421,20.0
110,5,108.881,34.1712,11.0
111,5,109.0445,34.2287,21.0
112,5,109.0089,34.2706,10.0
113,5,108.8814,34.2259,13.0
114,5,108.9497,34.2798,14.0
115,5,108.9459,34.208,12.0
116,5,109.0552,34.2506,45.0
117,5,108.9366,34.3676,14.0
118,5,108.9585,34.1724,29.0
119,5,108.9581,34.2421,18.0
120,6,109.0101,34.2712,20.0
121,6,108.9667,34.3489,39.0
122,6,108.9322,34.332,28.0
123,6,109.0839,34.3041,9.0
124,6,108.9437,34.2669,15.0
125,6,109.0056,34.2067,5.0
126,6,108.9095,34.2926,16.0
127,6,108.8839,34.2632,45.0
128,6,108.9323,34.3057,12.0
129,6,108.8493,34.1996,19.0
130,6,108.9223,34.1909,10.0
131,6,108.9019,34.1708,22.0
132,6,109.0059,34.2824,11.0
133,6,108.9941,34.3232,17.0
134,6,108.8753,34.2698,25.0
135,6,108.962,34.1601,24.0
136,6,108.982,34.3004,15.0
137,6,109.0276,34.2574,11.0
138,6,108.885,34.2169,9.0
139,6,108.95,34.3622,16.0
140,6,108.9986,34.2954,56.0
