,hour,longitude,latitude,value
0,0,108.9521,34.2658,39.0
1,0,108.975,34.26,11.0
2,0,108.9555,34.2541,28.0
3,0,108.9473,34.2374,23.0
4,0,108.8677,34.1956,13.0
5,0,108.9325,34.3539,31.0
6,0,108.9535,34.3339,46.0
7,0,108.9418,34.3171,13.0
8,0,108.9394,34.3435,12.0
9,0,108.9484,34.1787,18.0
10,0,108.8966,34.2406,15.0
11,0,108.995,34.2587,52.0
12,0,108.9056,34.2468,12.0
13,0,108.9778,34.3234,10.0
14,0,108.8847,34.2264,11.0
15,0,108.9202,34.2622,31.0
16,0,108.9329,34.2581,10.0
17,0,108.9456,34.1965,65.0
18,0,108.9441,34.1516,25.0
19,0,108.9627,34.2702,24.0
20,0,108.9948,34.2088,22.0
21,0,108.8964,34.2229,10.0
22,0,108.8939,34.2647,24.0
23,1,108.9491,34.336,16.0
24,1,108.9533,34.2722,10.0
25,1,108.8883,34.2325,59.0
26,1,109.0009,34.2633,12.0
27,1,109.0196,34.2731,10.0
28,1,108.959,34.3115,29.0
29,1,109.0134,34.2301,13.0
30,1,108.9686,34.2762,13.0
31,1,108.8658,34.1819,22.0
32,1,108.9112,34.2658,17.0
33,1,108.9575,34.2407,26.0
34,1,108.8818,34.2004,18.0
35,2,108.9336,34.2584,15.0
36,2,108.9316,34.2986,43.0
37,2,108.9509,34.167,16.0
38,2,109.0021,34.2764,15.0
39,2,108.9295,34.3364,10.0
40,2,108.893,34.2171,12.0
41,2,108.8852,34.2423,19.0
42,2,108.93,34.2421,10.0
43,2,108.9075,34.2653,17.0
44,2,108.9515,34.1905,10.0
45,2,108.9096,34.2485,14.0
46,2,108.9698,34.2736,25.0
47,3,108.9508,34.1517,14.0
48,3,108.9464,34.3283,18.0
49,3,108.9603,34.3134,22.0
50,3,109.0455,34.257,10.0
51,3,108.9454,34.2587,40.0
52,3,108.9354,34.2891,10.0
53,4,108.9726,34.3147,20.0
54,4,108.8871,34.2578,14.0
55,4,108.887,34.1699,12.0
56,4,108.8961,34.1946,14.0
57,4,108.8804,34.2741,22.0
58,4,108.9755,34.2683,18.0
59,4,108.9015,34.2476,10.0
60,4,109.0661,34.2771,10.0
61,4,108.9734,34.3604,12.0
62,5,108.9666,34.2546,9.0
63,5,109.0059,34.2824,10.0
64,5,108.9161,34.2256,11.0
65,5,108.9303,34.2506,10.0
66,5,108.9695,34.282,10.0
67,5,108.9788,34.2408,32.0
68,5,108.9733,34.2729,10.0
69,5,108.9479,34.2167,28.0
70,5,108.9293,34.3419,36.0
71,5,108.8922,34.2541,76.0
72,5,108.983,34.2633,13.0
73,5,108.975,34.3286,11.0
74,5,108.8809,34.2437,45.0
75,5,108.9903,34.2271,20.0
76,5,108.9079,34.2753,10.0
77,5,109.0688,34.264,38.0
78,5,108.9201,34.2605,35.0
79,5,108.8839,34.2633,32.0
80,5,108.9002,34.2417,10.0
81,5,108.8912,34.2039,11.0
82,5,108.959,34.3041,19.0
83,6,108.9047,34.2396,112.0
84,6,109.0533,34.2485,11.0
85,6,108.9774,34.2681,27.0
86,6,108.9518,34.2915,11.0
87,6,108.9968,34.2993,43.0
88,6,108.9838,34.2841,59.0
89,6,108.9552,34.1723,9.0
90,6,108.9164,34.1842,45.0
91,6,108.902,34.1708,13.0
92,6,109.0098,34.2599,31.0
93,6,108.9733,34.3377,9.0
94,6,109.0243,34.2591,9.0
95,6,108.9628,34.342,9.0
96,6,108.8588,34.2377,19.0
97,6,108.9076,34.2077,84.0
98,6,108.958,34.3194,9.0
99,6,109.1329,34.3233,67.0
100,6,109.0133,34.2305,54.0
101,6,108.9458,34.26,40.0
102,6,108.9424,34.2125,26.0
103,6,108.9827,34.214,24.0
104,6,108.8748,34.2091,14.0
105,6,108.9809,34.3865,12.0
106,6,108.9158,34.2182,9.0
107,6,108.8702,34.2245,27.0
108,6,108.9878,34.229,27.0
109,6,108.9342,34.244,11.0
110,6,109.0169,34.3058,107.0
111,6,108.9322,34.332,39.0
112,6,108.8874,34.2508,130.0
113,6,108.9045,34.2692,25.0
114,6,108.9095,34.2538,70.0
115,6,108.9602,34.2427,39.0
116,6,108.9676,34.3251,47.0
117,6,109.0473,34.2347,15.0
118,6,108.8816,34.1733,12.0
119,6,108.9602,34.3538,11.0
120,6,108.8822,34.2012,10.0
121,6,108.8622,34.2096,35.0
122,6,108.9962,34.2554,27.0
123,6,108.932,34.2086,9.0
124,6,109.0047,34.249,19.0
125,6,108.9532,34.3033,97.0
126,6,108.9045,34.297,28.0
127,6,108.8649,34.2518,35.0
128,7,108.8949,34.265,58.0
129,7,108.9354,34.2917,67.0
130,7,108.9604,34.2655,13.0
131,7,108.9519,34.1736,27.0
132,7,108.9427,34.256,82.0
133,7,108.9516,34.202,132.0
134,7,109.0328,34.3071,27.0
135,7,108.9762,34.3293,46.0
136,7,108.9641,34.3525,72.0
137,7,108.9296,34.2176,102.0
138,7,108.9102,34.2347,90.0
139,7,109.0579,34.2933,80.0
140,7,108.8783,34.2627,19.0
141,7,108.8585,34.2096,59.0
142,7,108.8796,34.2318,31.0
143,7,108.9589,34.2244,15.0
144,7,108.9886,34.3094,23.0
145,7,108.9207,34.2926,44.0
146,7,109.0536,34.2703,10.0
147,7,108.8625,34.1887,17.0
148,7,108.9641,34.3202,35.0
149,7,108.998,34.2204,10.0
150,7,108.8609,34.1589,12.0
151,7,109.0125,34.3098,99.0
152,7,108.9328,34.3576,29.0
153,7,108.98,34.2602,12.0
154,7,108.962,34.3371,9.0
155,7,108.9477,34.3081,29.0
156,7,108.9999,34.2979,20.0
157,7,108.9109,34.1576,18.0
158,7,108.9301,34.2442,47.0
159,7,109.0024,34.2659,30.0
160,7,108.8515,34.2797,80.0
161,7,108.9661,34.2093,9.0
162,7,109.0087,34.2054,23.0
163,7,108.8643,34.1774,33.0
164,7,108.9326,34.3473,42.0
165,7,109.076,34.2722,25.0
166,7,109.0,34.3874,58.0
167,7,108.9532,34.3215,22.0
168,7,108.9352,34.3128,75.0
169,7,109.2056,34.3833,6.0
170,7,108.9801,34.2735,49.0
171,7,109.1079,34.0992,46.0
172,7,108.9895,34.2275,45.0
173,7,108.8704,34.2525,85.0
174,7,108.8896,34.2387,85.0
175,7,108.982,34.1954,115.0
176,7,108.9052,34.2994,54.0
177,7,108.8849,34.249,77.0
178,7,109.0796,34.307,13.0
179,7,108.939,34.2372,35.0
180,7,109.002,34.2484,11.0
181,7,108.9519,34.1884,9.0
182,7,109.0095,34.2564,38.0
183,7,108.9113,34.1949,117.0
184,7,108.8851,34.2921,27.0
185,7,108.944,34.3384,104.0
186,7,108.9458,34.3626,41.0
187,7,108.9532,34.346,18.0
188,7,109.0251,34.3425,23.0
189,7,109.0179,34.2456,55.0
190,7,108.9367,34.2015,69.0
191,7,108.9928,34.2572,30.0
192,7,108.9717,34.344,95.0
193,7,109.2299,34.3954,7.0
194,7,108.9076,34.208,65.0
195,7,109.039,34.3263,63.0
196,7,108.9536,34.2958,84.0
197,7,108.9179,34.1744,30.0
198,7,108.8704,34.2034,31.0
