,hour,longitude,latitude,value
0,0,108.8852,34.166,11.0
1,0,108.9528,34.2418,18.0
2,0,109.0204,34.3104,45.0
3,0,108.9678,34.1775,25.0
4,0,108.97,34.2119,25.0
5,0,108.9711,34.2731,94.0
6,0,108.9767,34.2564,24.0
7,0,108.8755,34.263,33.0
8,0,108.9129,34.24,41.0
9,0,108.9123,34.2537,24.0
10,0,108.8654,34.2032,10.0
11,0,108.9834,34.3673,17.0
12,0,108.9347,34.2359,18.0
13,0,109.0195,34.288,52.0
14,0,108.9547,34.3397,72.0
15,0,108.9588,34.2516,53.0
16,0,108.9323,34.2004,10.0
17,0,108.8875,34.1793,115.0
18,0,108.9363,34.362,10.0
19,0,108.9335,34.3158,18.0
20,0,108.8851,34.1959,58.0
21,0,108.8894,34.2324,58.0
22,0,109.0697,34.2532,24.0
23,0,108.9536,34.2618,15.0
24,0,109.0035,34.2536,19.0
25,0,108.9322,34.332,12.0
26,0,108.9872,34.24,25.0
27,0,108.8756,34.2513,10.0
28,0,109.0697,34.2748,10.0
29,0,108.904,34.2642,26.0
30,0,109.0726,34.2845,9.0
31,0,108.9623,34.3552,15.0
32,0,108.953,34.2222,23.0
33,0,108.9597,34.2787,15.0
34,0,108.8933,34.2183,37.0
35,0,108.9808,34.2126,16.0
36,0,108.9282,34.2786,15.0
37,0,108.9356,34.2627,33.0
38,0,109.0025,34.2834,34.0
39,1,108.9433,34.1976,62.0
40,1,108.972,34.3584,36.0
41,1,108.9764,34.2063,12.0
42,1,108.9234,34.2912,10.0
43,1,108.9166,34.2611,21.0
44,1,108.9497,34.2565,12.0
45,1,108.9526,34.3547,38.0
46,1,108.9947,34.1809,40.0
47,1,108.8912,34.232,37.0
48,1,108.9662,34.266,17.0
49,1,108.9108,34.2378,13.0
50,1,108.8753,34.2516,35.0
51,1,108.9537,34.2711,50.0
52,1,108.9469,34.3057,56.0
53,1,108.9925,34.2765,28.0
54,1,108.9691,34.2822,12.0
55,1,108.8831,34.1998,22.0
56,1,108.9282,34.2375,25.0
57,1,108.9105,34.2809,18.0
58,1,108.8964,34.2202,30.0
59,1,108.9387,34.2458,30.0
60,1,108.9586,34.2959,14.0
61,1,108.8966,34.2405,10.0
62,1,108.9526,34.2224,10.0
63,1,109.0021,34.2819,14.0
64,2,108.8909,34.2923,10.0
65,2,109.0226,34.2725,38.0
66,2,108.9374,34.2114,22.0
67,2,108.9493,34.253,18.0
68,2,108.9812,34.258,10.0
69,2,108.9278,34.339,10.0
70,2,108.8922,34.2286,11.0
71,2,108.948,34.168,13.0
72,2,108.9883,34.3159,16.0
73,2,108.9392,34.1968,51.0
74,2,108.9142,34.2411,24.0
75,2,108.9153,34.2249,23.0
76,2,108.9326,34.2421,18.0
77,2,108.9525,34.2658,29.0
78,2,108.9118,34.2538,17.0
79,2,108.8803,34.2001,34.0
80,2,108.9113,34.1946,33.0
81,2,108.9528,34.3052,36.0
82,2,108.9782,34.2749,38.0
83,2,108.9623,34.3286,14.0
84,3,108.8708,34.2653,10.0
85,3,109.0481,34.275,10.0
86,3,108.9381,34.2951,10.0
87,3,108.9393,34.33,20.0
88,3,108.9536,34.2925,16.0
89,3,108.9693,34.2644,19.0
90,3,108.8699,34.162,20.0
91,3,109.0432,34.257,10.0
92,3,108.9702,34.2121,11.0
93,4,108.9154,34.2253,10.0
94,4,108.8993,34.2219,25.0
95,4,108.9636,34.3536,11.0
96,4,108.9826,34.1778,35.0
97,4,108.9677,34.2426,19.0
98,4,108.9758,34.36,12.0
99,5,109.005,34.238,21.0
100,5,109.0126,34.2467,30.0
101,5,108.9288,34.2867,45.0
102,5,108.9352,34.3657,24.0
103,5,108.8835,34.2464,24.0
104,5,108.8661,34.1822,29.0
105,5,108.9606,34.3616,14.0
106,5,108.9713,34.203,140.0
107,5,108.9692,34.2782,13.0
108,5,109.0059,34.2823,11.0
109,5,108.9781,34.2414,16.0
110,5,108.9156,34.2251,11.0
111,5,108.9839,34.3875,12.0
112,5,108.9462,34.3357,10.0
113,5,108.8727,34.2519,10.0
114,5,108.8786,34.2007,55.0
115,5,108.9906,34.3059,34.0
116,5,108.9289,34.3548,10.0
117,5,108.8855,34.1731,31.0
118,5,108.9507,34.2136,47.0
119,5,109.012,34.3185,24.0
120,5,108.9123,34.1706,12.0
121,5,108.9453,34.2915,137.0
122,5,108.9159,34.2098,54.0
123,5,108.9398,34.2324,21.0
124,5,108.9579,34.2892,30.0
125,5,108.9301,34.3427,14.0
126,6,108.9637,34.2623,9.0
127,6,108.8791,34.2579,39.0
128,6,108.9468,34.3201,14.0
129,6,108.9262,34.2155,55.0
130,6,108.9294,34.303,38.0
131,6,108.9213,34.2736,28.0
132,6,108.9709,34.1957,33.0
133,6,108.958,34.2833,9.0
134,6,108.9018,34.1671,14.0
135,6,108.8851,34.2166,9.0
136,6,108.957,34.3239,50.0
137,6,108.9103,34.2921,16.0
138,6,108.9627,34.2336,17.0
139,6,108.9409,34.3325,52.0
140,6,108.9498,34.3623,16.0
141,6,108.9418,34.3479,75.0
142,6,108.9095,34.1957,19.0
143,6,108.9049,34.2165,34.0
144,6,108.8597,34.2939,29.0
145,6,108.9297,34.3555,9.0
146,6,108.9928,34.2187,44.0
147,6,108.9702,34.2431,22.0
148,6,108.9498,34.2544,40.0
149,6,108.8765,34.2717,23.0
150,6,108.9621,34.1608,23.0
151,6,108.9688,34.2824,9.0
152,6,108.8505,34.2819,38.0
153,6,108.9779,34.3117,9.0
154,6,108.9595,34.3397,59.0
155,6,108.9393,34.2834,19.0
156,6,108.9458,34.1947,81.0
157,6,108.9457,34.2981,52.0
