,hour,longitude,latitude,value
0,0,108.868,34.2431,11.0
1,0,108.9069,34.2257,52.0
2,0,108.954,34.2622,111.0
3,0,108.9733,34.2739,133.0
4,0,108.9329,34.2207,26.0
5,0,108.9095,34.2079,16.0
6,0,108.9415,34.163,16.0
7,0,108.9234,34.1808,25.0
8,0,109.0036,34.2651,18.0
9,0,108.9127,34.1963,13.0
10,0,108.8864,34.1716,82.0
11,0,108.995,34.2517,10.0
12,0,108.953,34.1999,10.0
13,0,108.8756,34.1777,11.0
14,0,108.9781,34.3221,20.0
15,0,108.9718,34.3541,26.0
16,0,108.8846,34.1965,79.0
17,0,108.8786,34.2474,50.0
18,0,108.9534,34.2898,55.0
19,0,108.9144,34.2423,43.0
20,0,108.9319,34.2422,25.0
21,0,108.9329,34.2581,24.0
22,0,108.9691,34.1981,36.0
23,0,108.953,34.2235,54.0
24,0,108.9283,34.2741,28.0
25,0,109.0195,34.288,10.0
26,0,108.9034,34.2385,10.0
27,0,109.0484,34.2662,34.0
28,0,109.0131,34.2501,10.0
29,0,108.8885,34.2265,59.0
30,0,108.9696,34.2501,20.0
31,0,108.9551,34.3363,76.0
32,0,108.9893,34.2698,21.0
33,0,108.947,34.2381,63.0
34,1,108.8787,34.2494,14.0
35,1,108.935,34.2466,10.0
36,1,108.9171,34.2611,11.0
37,1,108.9544,34.2991,64.0
38,1,108.9945,34.2768,29.0
39,1,108.8772,34.2712,10.0
40,1,108.8923,34.2283,22.0
41,1,108.9532,34.1893,16.0
42,1,109.2084,34.2263,210.0
43,1,109.0698,34.2535,24.0
44,1,108.9877,34.3607,16.0
45,1,108.9769,34.2709,91.0
46,1,108.995,34.2604,25.0
47,1,109.0157,34.2328,10.0
48,1,108.9207,34.2926,15.0
49,1,108.9981,34.2514,10.0
50,1,108.9492,34.2161,31.0
51,1,109.0251,34.257,23.0
52,1,109.076,34.2699,19.0
53,1,108.9331,34.2155,41.0
54,1,108.954,34.2336,52.0
55,1,108.9486,34.3371,19.0
56,1,108.8938,34.1964,10.0
57,1,108.9848,34.2506,38.0
58,1,109.0141,34.2753,16.0
59,1,108.9347,34.2649,23.0
60,1,108.9324,34.3334,13.0
61,1,108.9667,34.2826,10.0
62,2,108.9337,34.3329,10.0
63,2,108.9835,34.1988,26.0
64,2,108.9342,34.2725,21.0
65,2,109.0476,34.2766,10.0
66,2,108.8766,34.2615,10.0
67,2,108.9361,34.3638,30.0
68,2,108.9045,34.2818,16.0
69,2,108.9336,34.2584,15.0
70,2,108.9208,34.2919,10.0
71,2,108.9917,34.2395,35.0
72,2,108.9649,34.3214,20.0
73,2,108.9396,34.3416,10.0
74,2,108.9457,34.2657,25.0
75,2,108.9687,34.2831,38.0
76,2,109.0012,34.2492,15.0
77,2,108.971,34.2708,56.0
78,2,108.9429,34.2348,25.0
79,3,108.9754,34.2564,34.0
80,3,109.012,34.2578,30.0
81,3,109.0214,34.2961,14.0
82,3,108.9454,34.2367,37.0
83,3,108.9074,34.2657,18.0
84,3,108.956,34.3331,10.0
85,3,108.9611,34.2485,42.0
86,3,108.8995,34.2219,27.0
87,3,108.9782,34.2749,19.0
88,3,108.9693,34.2644,19.0
89,3,108.8944,34.2506,100.0
90,3,108.9137,34.2735,20.0
91,3,108.8895,34.2304,16.0
92,3,108.9381,34.295,10.0
93,3,108.8651,34.1585,14.0
94,3,108.9457,34.266,41.0
95,3,108.8939,34.2723,13.0
96,4,108.8854,34.173,52.0
97,4,108.9536,34.2544,56.0
98,4,108.9669,34.2647,15.0
99,4,108.9857,34.2963,30.0
100,4,108.9263,34.2427,10.0
101,4,109.0637,34.2813,43.0
102,4,108.946,34.2459,31.0
103,4,108.9422,34.1647,5.0
104,4,108.9116,34.2458,14.0
105,4,108.881,34.2423,10.0
106,4,108.9278,34.2616,10.0
107,4,109.0275,34.2658,36.0
108,4,108.9237,34.2755,10.0
109,4,108.9518,34.1893,15.0
110,4,108.9841,34.2657,27.0
111,4,109.0768,34.2668,38.0
112,4,108.9956,34.2247,20.0
113,4,108.9719,34.3498,44.0
114,4,109.0155,34.2495,13.0
115,5,108.943,34.2282,100.0
116,5,108.9312,34.2892,19.0
117,5,108.9373,34.2073,23.0
118,5,108.9336,34.2591,9.0
119,5,108.8585,34.2003,9.0
120,5,108.9327,34.2414,30.0
121,5,108.9768,34.3602,37.0
122,5,108.9837,34.2897,21.0
123,5,109.0837,34.2812,14.0
124,5,108.9094,34.2559,39.0
125,5,108.9769,34.2543,15.0
126,5,108.9578,34.2544,33.0
127,5,108.9429,34.2538,10.0
128,5,108.9138,34.2719,25.0
129,5,108.9303,34.3433,14.0
130,5,108.9979,34.2331,9.0
131,5,109.0012,34.2138,10.0
132,5,108.8925,34.2618,44.0
133,5,108.9579,34.289,29.0
134,5,108.9676,34.2827,46.0
135,5,109.0765,34.2646,120.0
136,5,108.9156,34.2251,11.0
137,5,108.9977,34.2629,12.0
138,5,108.926,34.2133,31.0
139,5,108.8906,34.2517,28.0
140,5,108.9453,34.1649,28.0
141,5,108.9456,34.3096,10.0
142,5,108.9625,34.1804,39.0
143,5,108.9203,34.1635,40.0
144,5,108.8935,34.2162,26.0
145,5,108.9955,34.3248,49.0
146,5,109.0005,34.2499,15.0
147,5,108.9012,34.2337,23.0
148,6,108.9157,34.2177,27.0
149,6,108.9768,34.2273,16.0
150,6,108.8823,34.2012,24.0
151,6,108.9295,34.2157,54.0
152,6,109.0119,34.3105,38.0
153,6,108.9884,34.4125,63.0
154,6,108.9445,34.1955,32.0
155,6,108.9988,34.2623,20.0
156,6,108.9258,34.2566,83.0
157,6,108.8706,34.2094,242.0
158,6,109.0076,34.2837,10.0
159,6,108.9361,34.3467,28.0
160,6,108.9922,34.2995,19.0
161,6,108.8979,34.2488,15.0
162,6,109.0017,34.2112,56.0
163,6,108.9536,34.3361,163.0
164,6,108.8978,34.2817,30.0
165,6,108.9287,34.2925,48.0
166,6,109.0649,34.2833,110.0
167,6,108.9989,34.2245,16.0
168,6,108.8687,34.2765,20.0
169,6,108.896,34.2329,23.0
170,6,108.9357,34.1756,11.0
171,6,108.8575,34.2652,100.0
172,6,108.8901,34.2233,62.0
173,6,108.9781,34.3231,63.0
174,6,108.8783,34.2544,48.0
175,6,108.9624,34.2141,24.0
176,6,108.9777,34.3481,9.0
177,6,108.9483,34.2834,25.0
178,6,108.9309,34.247,30.0
179,6,109.0255,34.3123,41.0
180,6,109.0565,34.2773,23.0
181,6,108.8746,34.2228,9.0
182,6,108.9143,34.2694,56.0
183,6,108.8998,34.1664,33.0
184,6,108.9607,34.2548,24.0
185,6,108.996,34.3117,17.0
186,6,108.9748,34.2529,259.0
187,6,108.8846,34.1726,25.0
188,6,108.949,34.2593,27.0
189,6,108.9885,34.2116,27.0
190,6,108.9833,34.2668,21.0
191,6,108.9504,34.2937,31.0
192,6,108.9747,34.2097,16.0
193,6,109.0148,34.2315,26.0
194,6,108.9628,34.3466,39.0
195,6,108.9454,34.2339,20.0
196,6,108.9857,34.241,34.0
197,6,108.9107,34.1964,21.0
198,6,108.8804,34.2387,55.0
199,6,108.969,34.2801,13.0
200,6,109.0217,34.2712,38.0
201,6,108.9018,34.2045,21.0
202,7,108.9723,34.212,11.0
203,7,108.9759,34.2524,70.0
204,7,108.9829,34.1775,11.0
205,7,108.8599,34.2342,17.0
206,7,108.9189,34.2973,17.0
207,7,109.0244,34.268,14.0
208,7,108.8813,34.1705,32.0
209,7,108.9374,34.2114,17.0
210,7,108.9629,34.232,30.0
211,7,108.9036,34.3018,50.0
212,7,108.9383,34.2864,71.0
213,7,108.8908,34.2387,150.0
214,7,108.958,34.3195,96.0
215,7,109.0079,34.2337,63.0
216,7,108.9261,34.2067,50.0
217,7,109.045,34.2916,52.0
218,7,108.9749,34.3287,9.0
219,7,109.0459,34.2355,52.0
220,7,109.068,34.281,12.0
221,7,108.8634,34.2086,62.0
222,7,108.8678,34.2689,51.0
223,7,108.9221,34.2271,93.0
224,7,108.9705,34.3509,19.0
225,7,108.9898,34.2297,12.0
226,7,108.9505,34.1592,15.0
227,7,108.9339,34.3237,28.0
228,7,108.87,34.2432,56.0
229,7,108.8901,34.2919,25.0
230,7,108.9506,34.1976,64.0
231,7,108.8932,34.2514,196.0
232,7,108.9347,34.262,85.0
233,7,108.9943,34.2989,32.0
234,7,108.9553,34.2959,59.0
235,7,108.9701,34.271,25.0
236,7,109.2316,34.3915,13.0
237,7,109.043,34.2683,100.0
238,7,108.9395,34.3521,97.0
239,7,108.9745,34.1986,72.0
240,7,108.9117,34.2077,95.0
