,hour,longitude,latitude,value
0,0,109.0958,34.4033,5
1,0,108.9398,34.2099,4
2,0,108.788,34.0442,10
3,0,108.9426,34.2989,6
4,0,108.9056,34.2742,5
5,0,108.8417,34.291,11
6,0,108.9454,34.2637,3
7,0,108.9948,34.2699,4
8,0,108.8614,34.1595,3
9,0,108.8888,34.1816,4
10,0,108.8955,34.1697,2
11,0,108.9298,34.2291,12
12,0,108.878,34.2691,2
13,0,108.9537,34.2793,2
14,0,109.2125,34.357,3
15,0,108.9952,34.2543,4
16,0,108.9428,34.2539,4
17,0,109.0483,34.2946,5
18,0,109.0172,34.2584,6
19,0,109.0362,34.3308,2
20,0,108.926,34.2115,5
21,0,108.8369,34.2684,3
22,0,108.9386,34.2395,4
23,0,108.9486,34.1372,6
24,0,108.9639,34.1766,2
25,0,108.9604,34.2642,63
26,0,108.9226,34.2754,4
27,0,108.9739,34.263,2
28,0,108.9297,34.2624,5
29,0,109.0044,34.3889,6
30,0,108.9706,34.2271,4
31,0,108.9529,34.2225,9
32,0,108.9252,34.2449,3
33,0,108.967,34.2823,27
34,0,108.9622,34.3552,8
35,0,108.9556,34.2017,2
36,0,108.9875,34.2308,5
37,0,108.9693,34.2495,6
38,0,108.9533,34.2466,5
39,0,108.8805,34.1474,8
40,0,108.904,34.2642,3
41,0,109.0026,34.3116,3
42,0,108.8307,34.0709,13
43,0,108.9563,34.3008,11
44,0,109.0132,34.275,6
45,0,108.9901,34.244,4
46,0,108.892,34.1992,3
47,0,108.9719,34.3407,6
48,0,108.9821,34.36,3
49,0,108.8977,34.2531,2
50,0,108.8884,34.2893,3
51,0,108.9603,34.2548,43
52,0,108.9734,34.274,18
53,0,109.079,34.2686,5
54,0,108.9115,34.2535,6
55,0,108.9725,34.2161,6
56,0,108.9942,34.2088,6
57,0,108.9531,34.2347,6
58,0,108.9331,34.2783,2
59,0,109.0445,34.2195,2
60,0,108.9963,34.3517,3
61,0,108.9768,34.3238,2
62,0,108.8428,34.2543,12
63,0,108.8536,34.289,3
64,0,108.8783,34.2291,7
65,0,108.953,34.3349,17
66,0,109.013,34.2871,4
67,0,109.0242,34.3956,4
68,0,108.7919,34.2577,2
69,0,108.9097,34.2376,23
70,0,108.9985,34.22,4
71,0,108.8892,34.1079,3
72,0,108.9958,34.3265,3
73,0,109.0241,34.3429,11
74,0,109.0513,34.2671,2
75,0,108.9205,34.1647,6
76,0,108.8788,34.244,4
77,0,108.945,34.312,2
78,1,108.9537,34.3236,4
79,1,108.957,34.2778,6
80,1,109.0405,34.2563,4
81,1,108.8126,34.3071,5
82,1,109.1229,34.0061,2
83,1,108.9431,34.2349,4
84,1,108.9601,34.296,4
85,1,108.9694,34.2492,10
86,1,108.943,34.1459,4
87,1,108.9597,34.2688,4
88,1,109.0707,34.2894,3
89,1,108.9346,34.2727,2
90,1,108.9498,34.1927,4
91,1,108.9393,34.33,4
92,1,108.8289,34.0716,3
93,1,108.8907,34.1907,6
94,1,108.9825,34.3008,3
95,1,109.0489,34.2771,4
96,1,108.9369,34.2977,2
97,1,108.9146,34.252,8
98,1,108.9785,34.3219,2
99,1,109.0294,34.393,4
100,1,109.0648,34.2811,4
101,1,108.9857,34.2422,6
102,1,108.8524,34.2933,3
103,1,108.8355,34.3412,4
104,1,108.9094,34.2173,6
105,1,108.9738,34.2682,2
106,1,108.9358,34.1666,4
107,1,108.9552,34.2389,2
108,1,108.8973,34.2423,3
109,1,108.9769,34.1748,2
110,1,108.9235,34.2311,5
111,1,108.9452,34.2242,3
112,1,108.9089,34.2378,11
113,1,108.9769,34.2336,2
114,1,108.8894,34.2313,6
115,1,108.9569,34.2216,4
116,1,108.903,34.2562,3
117,1,108.8591,34.2292,2
118,1,108.9536,34.2038,5
119,1,108.9609,34.3431,5
120,1,108.9521,34.2481,4
121,1,108.9768,34.2785,9
122,1,109.0207,34.245,2
123,1,109.0036,34.2566,4
124,1,108.9348,34.2605,6
125,1,108.9412,34.2092,4
126,1,108.9682,34.3502,3
127,1,108.9504,34.3625,3
128,2,108.9817,34.1954,2
129,2,108.9455,34.2377,3
130,2,108.9044,34.2947,4
131,2,108.945,34.3822,2
132,2,108.9539,34.2561,3
133,2,108.9265,34.3361,7
134,2,109.002,34.2897,3
135,2,108.8759,34.2024,3
