,hour,longitude,latitude,value
0,0,108.9353,34.3374,9.0
1,0,108.9487,34.14,67.0
2,0,109.0452,34.2179,54.0
3,0,108.9963,34.3517,10.0
4,0,108.8829,34.1858,29.33
5,0,109.0185,34.2832,18.5
6,0,108.9218,34.2458,9.0
7,0,108.8914,34.2036,5.0
8,0,108.9541,34.2321,11.75
9,0,108.9948,34.2088,13.0
10,0,108.8606,34.1881,20.0
11,0,109.0668,34.258,9.0
12,0,108.882,34.1978,8.0
13,0,108.8804,34.2387,8.0
14,0,108.9717,34.3221,10.0
15,0,108.9953,34.2662,16.0
16,0,108.838,34.2818,28.0
17,0,108.9223,34.2277,13.5
18,0,108.7696,34.1961,16.0
19,0,108.9868,34.2719,16.0
20,0,108.9536,34.2867,14.5
21,0,108.8997,34.222,8.0
22,0,108.8889,34.2288,16.6
23,0,108.9347,34.244,13.6
24,0,108.8657,34.2045,23.0
25,0,108.9435,34.1888,18.5
26,0,108.9622,34.3552,10.0
27,0,108.8874,34.2142,13.33
28,0,108.9532,34.3362,10.0
29,0,108.9166,34.2607,7.4
30,0,108.904,34.2642,9.5
31,0,108.9717,34.2691,17.0
32,0,108.8495,34.2837,14.0
33,0,108.9457,34.3199,14.0
34,0,108.9606,34.2681,15.0
35,0,108.9807,34.2155,18.0
36,0,108.9389,34.3667,21.0
37,0,108.9102,34.2261,20.5
38,0,108.9534,34.2547,12.5
39,0,109.0239,34.3026,7.0
40,0,108.9789,34.2575,14.0
41,0,108.8907,34.2421,42.0
42,0,108.9673,34.1921,5.0
43,0,108.972,34.3595,26.5
44,0,108.9385,34.2542,12.0
45,0,108.9482,34.2988,9.0
46,0,109.0018,34.2569,17.0
47,0,108.9341,34.2654,9.0
48,0,108.9371,34.2775,26.0
49,0,108.9293,34.3535,17.5
50,1,108.878,34.2691,7.0
51,1,108.9928,34.3818,19.0
52,1,108.9107,34.3772,70.0
53,1,108.95,34.3203,9.0
54,1,108.9953,34.2778,8.0
55,1,108.9942,34.2883,17.0
56,1,108.9735,34.1986,17.5
57,1,108.921,34.2383,11.67
58,1,108.8483,34.2332,64.0
59,1,108.9166,34.3869,72.0
60,1,109.0128,34.2752,7.5
61,1,108.9423,34.2567,8.0
62,1,108.8595,34.2898,9.0
63,1,108.9533,34.231,19.0
64,1,108.9697,34.2764,8.0
65,1,108.8853,34.2236,10.33
66,1,109.0252,34.3127,14.0
67,1,108.8965,34.2405,25.5
68,1,108.9076,34.2408,8.0
69,1,108.9962,34.3367,3.0
70,1,108.8649,34.1885,26.0
71,1,108.9623,34.2648,8.5
72,1,108.9364,34.32,25.0
73,1,108.9357,34.3383,9.0
74,1,108.9761,34.1622,36.0
75,1,108.8429,34.1998,25.0
76,1,108.9512,34.1788,33.0
77,1,109.0697,34.2532,7.0
78,1,108.904,34.2642,12.0
79,1,108.8933,34.1973,13.0
80,1,108.8636,34.2079,18.0
81,1,108.9589,34.3115,9.0
82,1,108.9327,34.2339,18.0
83,1,108.8538,34.1748,139.0
84,1,108.9584,34.2543,8.5
85,1,108.9116,34.2089,26.0
86,1,108.9536,34.3019,18.0
87,1,108.9529,34.2168,7.0
88,1,108.9831,34.2945,22.0
89,1,108.973,34.3271,11.5
90,2,109.0039,34.2533,9.0
91,2,108.9712,34.3158,9.0
92,2,108.9144,34.2419,10.0
93,2,108.9271,34.3356,68.0
94,2,109.0535,34.2895,25.0
95,2,108.882,34.1991,22.5
96,2,108.963,34.2267,11.0
97,2,108.9217,34.2059,12.0
98,2,108.9245,34.2175,8.0
99,2,108.9433,34.2251,7.0
100,2,108.8821,34.1869,51.0
101,2,108.9463,34.273,19.0
102,2,108.9933,34.1623,25.0
103,2,108.9552,34.2586,8.0
104,2,108.9657,34.3432,28.0
105,2,108.9073,34.2234,7.0
106,2,108.896,34.2882,66.0
107,2,109.023,34.2727,20.5
108,2,108.9685,34.2814,11.25
109,2,108.893,34.2171,19.0
110,2,108.9681,34.2497,2.5
111,2,108.9393,34.33,72.0
112,2,108.8844,34.2316,19.0
113,2,108.8701,34.1856,30.0
114,3,108.9812,34.258,16.5
115,3,108.99,34.245,33.0
116,3,108.9723,34.212,18.0
117,3,108.9698,34.2805,11.0
118,3,108.8632,34.1816,46.0
119,3,108.9527,34.2662,14.67
120,3,108.9342,34.2725,12.5
121,3,108.8731,34.3433,64.0
122,3,108.9636,34.3536,19.0
123,3,108.9381,34.2951,26.0
124,3,108.881,34.2423,9.0
125,3,108.9278,34.3529,8.0
126,3,108.9783,34.2357,19.0
127,3,108.9096,34.2485,13.0
128,3,108.9512,34.302,20.0
129,3,108.8565,34.2076,35.0
130,3,109.0749,34.3133,9.0
131,4,108.9446,34.321,10.0
132,4,108.9925,34.2185,14.0
133,4,108.9457,34.303,7.0
134,4,108.968,34.283,8.0
135,4,108.9554,34.3363,7.0
136,4,108.9328,34.2424,17.0
137,4,108.9834,34.253,20.0
138,4,108.8781,34.1852,18.0
139,4,108.9073,34.2658,17.5
140,4,108.9955,34.3213,23.5
141,4,108.8917,34.1996,16.0
142,4,108.8536,34.2803,26.0
143,4,108.9504,34.1999,10.0
144,4,108.939,34.2689,12.33
145,4,108.9446,34.3567,20.0
146,4,108.9783,34.2357,27.5
147,4,109.0858,34.2827,7.0
148,4,108.9561,34.3157,6.5
149,4,108.9068,34.2216,16.0
150,4,108.8978,34.2875,5.0
151,4,108.9678,34.2426,24.0
152,4,108.8879,34.236,17.0
153,4,108.9537,34.2764,8.0
154,4,108.943,34.2166,13.0
155,4,108.9675,34.1963,26.0
156,4,108.9581,34.2572,11.0
157,4,108.9133,34.2409,12.5
158,5,108.904,34.2642,15.67
159,5,108.9585,34.1724,18.0
160,5,108.9399,34.2955,11.67
161,5,108.9472,34.3114,11.5
162,5,109.0403,34.3225,10.0
163,5,109.013,34.3031,65.0
164,5,108.881,34.1712,17.0
165,5,108.9154,34.2253,17.0
166,5,108.9391,34.3328,16.0
167,5,108.9458,34.2655,8.0
168,5,108.9454,34.2339,7.0
169,5,108.8786,34.259,16.0
170,5,108.9689,34.2825,11.0
171,5,108.9641,34.3536,19.0
172,5,108.9216,34.3409,23.5
173,5,108.9245,34.2011,15.67
174,5,108.9967,34.3244,28.0
175,5,108.8791,34.2417,18.0
176,5,108.7947,34.2721,35.0
177,5,108.9581,34.2421,18.0
178,5,108.9531,34.2168,22.5
179,5,109.0687,34.2643,13.0
180,5,109.0693,34.2887,30.0
181,5,108.8238,34.2608,8.0
182,5,108.9512,34.3545,29.0
183,5,108.9357,34.3448,13.5
184,5,108.9329,34.2421,14.33
185,5,108.9459,34.208,8.0
186,5,109.0059,34.2824,15.0
187,5,108.892,34.2483,8.0
188,5,108.9366,34.3676,27.0
189,5,109.0445,34.2287,22.0
190,5,108.9497,34.2798,24.0
191,5,108.9283,34.2854,21.0
192,5,109.0089,34.2706,33.0
193,5,108.8814,34.2259,27.0
194,5,108.9448,34.3209,9.0
195,5,108.9652,34.3117,4.0
196,5,108.8718,34.1862,16.0
197,5,108.9578,34.2889,16.0
198,5,108.9378,34.2211,25.33
199,5,108.9536,34.3019,8.0
200,5,109.0552,34.2506,27.0
201,5,108.9751,34.2413,23.5
202,5,108.8731,34.204,17.0
203,6,108.8493,34.1996,21.0
204,6,108.8536,34.2954,28.0
205,6,109.0255,34.3123,42.67
206,6,108.8562,34.1857,22.0
207,6,108.9446,34.1956,10.0
208,6,108.8711,34.2084,15.0
209,6,108.9848,34.2898,24.0
210,6,108.8736,34.1691,26.0
211,6,108.9842,34.3877,68.0
212,6,108.8865,34.1565,23.0
213,6,109.0307,34.2994,5.33
214,6,108.8753,34.2698,14.0
215,6,109.0827,34.2891,31.5
216,6,109.0171,34.2508,8.67
217,6,108.9297,34.3555,8.0
218,6,108.9669,34.2509,10.33
219,6,108.9652,34.2718,8.0
220,6,108.9394,34.2522,9.33
221,6,108.9806,34.2512,13.5
222,6,108.8848,34.2516,8.0
223,6,108.9533,34.3347,11.0
224,6,108.8966,34.2416,19.0
225,6,108.9113,34.1964,24.67
226,6,108.8882,34.2261,34.0
227,6,108.9437,34.2669,9.0
228,6,108.9019,34.1708,23.5
229,6,108.9594,34.3036,10.5
230,6,108.8839,34.2632,12.5
231,6,108.9751,34.238,32.0
232,6,108.9149,34.2184,16.11
233,6,108.9241,34.2091,16.5
234,6,109.0276,34.2574,65.0
235,6,108.9327,34.2258,12.75
236,6,108.885,34.2169,11.0
237,6,109.0365,34.3239,13.0
238,6,108.9323,34.3057,18.0
239,6,108.8715,34.2218,26.0
240,6,108.9986,34.2954,9.5
241,6,108.994,34.347,42.0
242,6,108.962,34.1601,27.0
243,6,108.982,34.3004,30.0
244,6,108.9667,34.3489,36.67
245,6,108.973,34.3379,20.5
246,6,108.9038,34.2175,13.67
247,6,108.8683,34.2793,8.0
248,6,108.8832,34.2415,8.75
249,6,109.001,34.2624,9.33
250,6,109.016,34.2316,18.0
251,6,108.8505,34.282,28.0
252,6,109.0056,34.2067,30.0
253,6,108.8894,34.1089,62.0
254,6,108.95,34.3622,10.0
255,6,109.0101,34.2712,7.0
256,6,108.9827,34.214,13.0
257,6,109.0839,34.3041,9.0
258,6,108.995,34.2335,8.25
259,6,108.8844,34.1727,12.0
260,6,108.8718,34.1809,17.0
261,6,108.9941,34.3232,16.0
262,6,108.9617,34.2156,27.0
263,6,108.9335,34.3227,29.0
264,6,108.9203,34.2653,10.0
265,6,108.8595,34.2348,20.0
266,6,108.9095,34.2926,7.0
267,6,108.9377,34.3494,12.14
268,6,108.9869,34.2652,11.75
269,6,108.9044,34.2693,7.5
270,6,108.9954,34.3123,19.8
271,6,108.9223,34.1909,27.0
272,6,108.9553,34.2803,11.0
273,6,108.8431,34.2922,22.5
274,6,108.9676,34.3251,14.43
275,6,108.9999,34.3875,29.0
276,6,108.95,34.2959,13.5
277,6,109.0059,34.2824,12.5
278,6,108.9322,34.332,13.33
279,6,108.9333,34.2406,19.0
280,6,109.0235,34.3432,27.0
281,6,108.9443,34.1655,12.5
282,6,109.014,34.3104,17.33
283,6,108.9406,34.3388,14.0
284,6,108.8837,34.1858,14.5
285,6,108.9951,34.2185,18.0
286,6,109.0055,34.3229,69.0
287,6,108.9709,34.1957,17.0
288,6,108.9783,34.3288,26.0
289,6,108.9775,34.2238,10.0
290,6,108.9149,34.2397,9.67
291,6,108.9437,34.3161,14.0
292,6,108.9417,34.2185,8.25
293,6,108.9173,34.1687,17.0
294,6,108.9903,34.2438,9.0
295,6,108.9451,34.1778,12.0
296,6,108.9196,34.2501,22.33
297,6,108.903,34.2055,9.5
298,6,108.9232,34.2753,18.5
299,7,109.0153,34.231,89.5
300,7,108.9207,34.2926,67.5
301,7,108.9925,34.1839,26.0
302,7,108.9514,34.2076,27.23
303,7,109.0369,34.3242,80.0
304,7,108.8659,34.2151,17.75
305,7,108.9841,34.2512,60.4
306,7,108.9339,34.1688,85.0
307,7,109.0204,34.2902,64.0
308,7,108.9602,34.2214,54.0
309,7,109.0504,34.273,40.75
310,7,108.9479,34.3141,41.0
311,7,108.878,34.2876,20.67
312,7,108.8995,34.1997,63.5
313,7,108.8467,34.2692,7.0
314,7,109.0464,34.223,12.0
315,7,108.8675,34.2438,61.0
316,7,108.9726,34.3555,37.67
317,7,108.8837,34.2234,62.9
318,7,108.9953,34.3529,71.0
319,7,108.9702,34.3193,23.6
320,7,108.937,34.2608,61.57
321,7,108.9161,34.245,23.5
322,7,108.9867,34.3073,16.0
323,7,108.9365,34.3053,18.5
324,7,108.9711,34.2776,22.2
325,7,108.9779,34.299,29.0
326,7,108.9078,34.2536,55.83
327,7,108.8913,34.1575,26.0
328,7,108.9017,34.2824,68.0
329,7,108.9728,34.3372,22.67
330,7,108.9461,34.3782,11.0
331,7,109.0029,34.3228,42.0
332,7,108.904,34.2642,51.67
333,7,108.8749,34.2095,18.5
334,7,108.8659,34.2031,41.33
335,7,108.8841,34.1993,23.8
336,7,109.0099,34.2098,57.67
337,7,108.9994,34.2655,25.6
338,7,108.9568,34.3042,53.0
339,7,108.8821,34.2971,33.33
340,7,109.0249,34.314,39.5
341,7,109.0612,34.262,60.0
342,7,108.9859,34.1974,28.71
343,7,108.9419,34.3296,8.0
344,7,108.8512,34.199,34.33
345,7,108.864,34.1582,44.5
346,7,108.9601,34.3404,15.31
347,7,109.0642,34.2834,20.5
348,7,108.8416,34.2885,12.0
349,7,108.9971,34.2988,26.0
350,7,109.0267,34.4045,91.0
351,7,109.0306,34.3041,51.5
352,7,108.9002,34.2205,47.5
353,7,109.0754,34.2813,72.5
354,7,108.9443,34.199,29.67
355,7,108.9252,34.2633,51.5
356,7,108.8935,34.2404,44.38
357,7,108.905,34.2419,25.0
358,7,108.9391,34.3388,16.19
359,7,109.1079,34.0992,6.0
360,7,108.9667,34.243,32.75
361,7,108.935,34.2475,44.0
362,7,108.8783,34.2627,52.25
363,7,108.9325,34.3535,14.14
364,7,108.887,34.2511,57.67
365,7,108.9296,34.2176,17.25
366,7,108.9197,34.274,153.5
367,7,108.9557,34.2389,55.17
368,7,108.9114,34.1966,20.0
